annual_income,current_balance,credit_limit,utilization_ratio,late_payments_24m,age,tenure_years,customer_segment,region,risk_label
51462,1683.77,9841,0.171,0,33,1.6,salaried,west,good
77234,2392.55,8779,0.273,0,25,1.9,self-employed,south,good
85620,308.26,3921,0.079,1,50,9.6,self-employed,midwest,good
83626,1361.48,8825,0.154,2,21,5.7,salaried,south,good
48216,2047.56,13849,0.148,0,42,1.6,salaried,south,good
58816,4748.78,9795,0.485,0,38,1.4,retired,west,good
71625,3525.12,11848,0.298,0,66,2.2,self-employed,west,good
84511,3387.18,7052,0.48,0,25,1.3,retired,south,good
55417,4701.8,11000,0.427,1,51,3.8,self-employed,south,good
61287,2725.26,9117,0.299,1,26,3.7,salaried,midwest,good
42873,3780.93,4196,0.901,3,47,1.8,student,west,bad
41076,2793.56,9274,0.301,2,45,4.7,salaried,west,good
81251,3530.72,4033,0.875,0,49,4.7,retired,midwest,bad
92125,1834.48,5468,0.335,0,48,2.1,salaried,west,good
63560,0.0,8757,0.0,2,36,1.8,student,west,good
85071,2731.44,9189,0.297,0,74,2.5,self-employed,midwest,good
72233,5845.5,3243,1.0,0,73,4.4,self-employed,west,bad
52098,4852.43,12216,0.397,1,32,9.1,salaried,west,good
72228,4930.79,10288,0.479,2,40,4.4,salaried,northeast,bad
95761,5472.26,5181,1.0,1,38,1.5,salaried,south,bad
64283,3177.32,1850,1.0,1,54,3.9,student,northeast,bad
96293,3394.63,7420,0.457,1,73,3.4,self-employed,midwest,good
15000,1764.7,6216,0.284,1,43,3.3,salaried,south,good
81438,2367.85,8453,0.28,0,65,1.3,self-employed,west,good
66741,4231.54,6548,0.646,1,47,3.9,self-employed,south,bad
59020,5407.77,1000,1.0,1,69,3.2,salaried,west,bad
66835,2721.11,6447,0.422,1,37,1.5,salaried,west,good
25249,2099.62,6778,0.31,0,68,7.9,salaried,northeast,good
60607,3001.06,10535,0.285,0,41,1.4,salaried,south,good
72142,4202.41,5207,0.807,1,70,4.2,salaried,northeast,bad
94558,112.29,14715,0.008,2,60,2.9,self-employed,midwest,good
54635,0.0,1000,0.0,1,51,2.6,salaried,midwest,good
48830,1898.93,13245,0.143,0,23,6.3,self-employed,midwest,good
54965,558.58,7103,0.079,2,37,5.4,student,south,good
83308,1983.72,11438,0.173,0,70,2.9,student,south,good
71575,2704.44,8319,0.325,0,46,1.9,retired,northeast,good
54405,2093.5,12558,0.167,0,43,2.4,salaried,west,good
75265,5904.94,6451,0.915,1,26,2.7,salaried,south,bad
66942,3653.49,3606,1.0,1,48,5.4,salaried,midwest,bad
84373,3600.95,13682,0.263,0,28,4.0,salaried,west,good
50959,4244.41,7546,0.562,0,65,5.5,self-employed,south,good
58447,722.33,8886,0.081,0,28,1.3,student,south,good
57158,5078.22,12939,0.392,0,39,5.8,salaried,west,good
35730,2848.47,3872,0.736,2,58,6.8,salaried,west,bad
70922,4340.96,10382,0.418,1,49,2.0,retired,midwest,good
70221,856.29,5640,0.152,1,43,5.0,salaried,midwest,good
65102,0.0,7471,0.0,2,67,6.5,student,midwest,good
60308,4635.78,8289,0.559,1,52,2.3,salaried,west,good
36693,3752.82,1999,1.0,1,30,1.6,student,west,bad
56587,1195.9,4885,0.245,0,47,3.7,salaried,northeast,good
58146,1260.67,13404,0.094,0,69,0.9,student,northeast,good
48954,5250.87,11545,0.455,2,21,5.7,salaried,midwest,bad
61774,621.18,7749,0.08,1,59,1.8,student,northeast,good
73081,6285.35,8972,0.701,0,49,2.8,salaried,south,bad
102724,1198.76,6823,0.176,0,65,4.7,retired,west,good
68492,4276.78,13426,0.319,0,23,4.4,self-employed,west,good
70151,2342.76,7199,0.325,0,71,4.7,student,northeast,good
63511,4206.37,8927,0.471,1,67,2.0,salaried,south,good
26625,1911.77,12584,0.152,0,57,3.9,salaried,northeast,good
64470,2674.41,4891,0.547,0,51,5.2,self-employed,northeast,good
66205,3081.84,14235,0.216,2,31,2.2,student,midwest,good
114265,995.63,1878,0.53,0,42,8.2,self-employed,west,good
61153,4481.65,14519,0.309,0,38,2.8,salaried,west,good
71031,1973.57,6509,0.303,0,55,0.8,salaried,west,good
64306,2542.8,7029,0.362,0,26,2.8,retired,west,good
41626,1011.3,1000,1.0,0,23,6.5,self-employed,midwest,bad
87856,0.0,6181,0.0,0,25,1.8,self-employed,west,good
80039,2617.94,3841,0.682,1,29,1.7,salaried,west,good
80821,7825.23,5569,1.0,3,48,4.0,salaried,midwest,bad
46812,4569.21,7451,0.613,0,39,1.6,salaried,midwest,good
93056,2961.48,11831,0.25,0,48,1.5,salaried,midwest,good
36963,2474.22,8830,0.28,1,47,1.9,salaried,midwest,good
76737,3044.93,9231,0.33,2,33,7.4,salaried,south,good
108809,4094.24,3618,1.0,1,58,4.3,student,northeast,bad
45189,638.37,4477,0.143,0,63,3.3,salaried,west,good
53674,5228.64,15195,0.344,0,73,2.0,self-employed,west,good
66993,4430.76,5059,0.876,0,41,5.2,retired,northeast,bad
54930,4436.37,14625,0.303,1,47,4.5,salaried,south,good
33987,3876.95,7028,0.552,1,66,7.7,salaried,south,bad
66371,3039.23,8009,0.379,1,26,1.7,student,west,good
43754,4345.72,12281,0.354,2,58,1.6,retired,northeast,good
74472,4183.63,13088,0.32,0,69,0.8,salaried,northeast,good
46612,2291.92,7557,0.303,1,31,4.3,self-employed,south,good
95999,1852.8,6447,0.287,2,67,3.7,self-employed,west,good
49335,3203.71,7776,0.412,0,61,2.5,salaried,northeast,good
58559,6098.04,9352,0.652,0,73,0.8,salaried,south,bad
81270,521.79,11565,0.045,0,37,6.9,retired,south,good
40383,64.95,8017,0.008,2,59,3.6,student,west,good
69549,3329.52,10476,0.318,1,27,6.2,salaried,south,good
91143,3101.78,14553,0.213,0,50,6.5,retired,west,good
32850,3346.68,9525,0.351,0,41,4.3,salaried,west,good
68693,3487.91,9247,0.377,0,21,4.6,self-employed,south,good
70198,2553.6,1924,1.0,0,45,2.2,retired,midwest,bad
80636,5979.73,1000,1.0,0,52,3.4,self-employed,south,bad
40261,0.0,9554,0.0,0,28,5.6,salaried,south,good
38591,1343.01,7621,0.176,0,25,1.9,salaried,west,good
75439,2793.49,5941,0.47,1,50,5.4,student,south,good
70940,0.0,8974,0.0,1,71,5.2,self-employed,northeast,good
70010,2648.29,7758,0.341,0,28,5.1,self-employed,west,good
71929,6322.94,12511,0.505,0,69,3.3,salaried,south,good
51400,3041.77,8344,0.365,0,39,2.0,salaried,midwest,good
69645,3461.4,5012,0.691,1,64,8.2,student,midwest,bad
70861,479.67,11961,0.04,2,50,6.7,self-employed,midwest,good
50713,1767.28,7131,0.248,1,35,3.3,self-employed,midwest,good
102315,2249.61,10106,0.223,0,56,3.7,retired,west,good
74477,2364.57,6090,0.388,1,64,2.7,self-employed,northeast,good
41174,5563.29,5401,1.0,0,47,0.9,self-employed,south,bad
78131,4115.38,8337,0.494,1,33,3.0,self-employed,south,good
45506,777.08,8051,0.097,1,34,4.3,salaried,midwest,good
80742,3493.01,9919,0.352,1,57,2.3,salaried,south,good
88172,3996.44,6925,0.577,0,74,2.6,retired,midwest,good
48586,5280.3,1000,1.0,0,68,2.6,salaried,midwest,bad
84268,6161.08,6269,0.983,0,50,3.4,salaried,midwest,bad
73256,969.81,11175,0.087,0,59,2.8,student,midwest,good
81441,1378.28,6810,0.202,1,67,1.8,salaried,west,good
102936,484.84,7014,0.069,0,33,3.4,salaried,south,good
60092,2531.96,11946,0.212,1,36,4.2,salaried,northeast,good
49925,3932.72,5152,0.763,1,64,3.6,salaried,west,bad
47210,4974.67,1829,1.0,0,27,0.8,salaried,west,bad
48684,2848.1,7357,0.387,2,68,4.6,salaried,west,good
63458,2360.3,6063,0.389,0,47,1.5,self-employed,northeast,good
71823,3303.52,4135,0.799,1,65,4.1,salaried,northeast,bad
70534,1329.71,7298,0.182,1,55,4.2,salaried,south,good
81544,7179.08,9966,0.72,1,35,1.1,student,northeast,bad
65260,0.0,7963,0.0,1,48,5.3,salaried,midwest,good
94071,3369.48,9228,0.365,0,55,8.1,salaried,northeast,good
59707,7047.21,15254,0.462,1,27,2.7,self-employed,midwest,good
119403,3013.6,6628,0.455,0,70,4.1,self-employed,west,good
77513,2619.92,9113,0.287,0,66,2.4,salaried,south,good
47857,2285.11,5963,0.383,1,70,1.5,salaried,midwest,good
43582,2639.22,4615,0.572,0,71,5.6,salaried,south,good
74649,5745.7,5660,1.0,0,66,4.2,retired,midwest,bad
60531,0.0,6085,0.0,2,40,2.1,retired,south,good
79280,6066.87,9438,0.643,0,52,1.5,salaried,midwest,good
74465,152.09,17396,0.009,1,58,8.4,salaried,west,good
63543,2466.7,5136,0.48,3,60,1.3,self-employed,northeast,bad
48064,2141.51,6333,0.338,2,52,4.5,self-employed,northeast,good
34703,4177.11,7748,0.539,0,46,3.6,salaried,northeast,bad
56070,0.0,9583,0.0,0,59,5.0,retired,south,good
82128,3924.35,9054,0.433,0,40,7.2,salaried,south,good
69282,7048.62,13136,0.537,1,38,0.4,salaried,south,bad
40085,273.65,1000,0.274,0,70,1.6,self-employed,west,good
68464,3379.41,1000,1.0,1,35,3.0,salaried,west,bad
72706,1676.04,6016,0.279,2,72,7.5,self-employed,midwest,good
47323,3851.77,12389,0.311,0,42,2.5,salaried,northeast,good
68075,3038.3,1737,1.0,0,71,2.2,salaried,west,bad
66164,1717.03,1000,1.0,2,42,0.6,student,northeast,bad
42141,3975.74,10285,0.387,0,73,2.1,salaried,south,good
72156,6608.7,8975,0.736,1,41,4.4,salaried,south,bad
76216,2618.19,3639,0.719,1,22,3.0,retired,west,bad
86661,4439.52,4058,1.0,2,60,2.0,salaried,midwest,bad
86076,413.45,4121,0.1,1,73,8.4,self-employed,northeast,good
37447,1087.13,8442,0.129,0,63,2.7,salaried,midwest,good
46243,3944.81,5495,0.718,1,38,3.4,self-employed,midwest,bad
75301,5968.23,9976,0.598,0,43,1.9,salaried,west,good
75276,3711.23,1000,1.0,1,33,1.5,salaried,west,bad
75301,2373.88,4573,0.519,0,61,4.8,salaried,west,good
142055,2998.58,3496,0.858,0,29,1.0,salaried,south,bad
76418,499.18,6975,0.072,0,69,4.2,salaried,midwest,good
87711,4209.03,5848,0.72,0,27,0.3,salaried,south,bad
84080,4764.67,11191,0.426,3,61,3.9,retired,west,good
78028,2095.82,1000,1.0,2,74,1.6,self-employed,northeast,bad
58695,2059.92,8182,0.252,3,21,1.8,retired,south,good
80179,3531.76,10233,0.345,0,22,2.7,salaried,west,good
49543,2126.56,15427,0.138,0,24,1.4,retired,midwest,good
60264,2867.73,6073,0.472,1,34,0.8,self-employed,west,bad
55293,7199.44,9298,0.774,0,52,2.9,salaried,south,bad
66637,2505.95,1000,1.0,2,56,4.9,salaried,south,bad
111293,2283.32,1000,1.0,2,22,3.7,salaried,northeast,bad
27655,1704.92,11379,0.15,0,60,5.9,student,west,good
78725,4488.38,7978,0.563,0,70,0.9,salaried,midwest,bad
32746,2637.55,12714,0.207,0,71,2.5,student,west,good
55561,1701.25,2506,0.679,0,34,3.3,self-employed,midwest,bad
86779,5642.61,10080,0.56,0,40,1.8,salaried,south,good
66286,5839.21,15475,0.377,0,45,3.4,salaried,west,good
43445,1799.15,9679,0.186,1,62,5.7,self-employed,south,good
50694,0.0,9106,0.0,0,69,4.3,self-employed,south,good
78592,5015.03,8034,0.624,2,28,6.2,retired,northeast,bad
50393,1630.74,1716,0.95,2,48,3.8,salaried,midwest,bad
69329,4581.25,13422,0.341,1,66,3.0,salaried,northeast,good
65911,0.0,5557,0.0,1,41,7.2,salaried,northeast,good
51968,4785.19,10018,0.478,1,43,3.4,salaried,northeast,good
107879,577.66,1748,0.33,1,52,8.1,salaried,south,good
77678,4461.53,3282,1.0,2,28,5.3,salaried,northeast,bad
24497,3028.55,13740,0.22,1,51,2.1,retired,south,good
68729,1092.12,6611,0.165,1,57,2.8,student,west,good
51764,2185.93,13813,0.158,2,36,7.2,salaried,south,good
82049,4372.64,7687,0.569,0,60,5.9,salaried,south,good
49150,3211.79,1000,1.0,0,62,4.9,self-employed,northeast,bad
62705,4168.83,11568,0.36,1,47,4.6,salaried,south,good
75100,6952.88,5640,1.0,1,60,1.3,salaried,midwest,bad
82315,0.0,10795,0.0,0,61,1.5,student,south,good
40994,6234.43,8101,0.77,1,38,3.7,salaried,northeast,bad
58310,3208.71,1828,1.0,0,55,1.8,student,west,bad
55501,1202.43,8657,0.139,1,69,2.7,salaried,midwest,good
51933,339.37,16785,0.02,0,72,2.6,student,south,good
100309,2621.76,9972,0.263,1,35,4.4,self-employed,west,good
73100,4843.3,7770,0.623,2,73,3.8,salaried,west,bad
39782,2744.9,12301,0.223,0,47,5.7,self-employed,midwest,good
83357,6022.31,8843,0.681,1,37,3.8,salaried,northeast,good
107443,97.65,8838,0.011,0,60,3.6,salaried,west,good
85649,2975.82,3633,0.819,1,22,3.2,student,midwest,bad
34613,495.21,8935,0.055,1,69,6.2,salaried,south,good
55315,3727.26,12142,0.307,0,70,3.2,salaried,northeast,good
90338,4773.77,4656,1.0,0,51,2.0,salaried,northeast,bad
50847,2158.48,13698,0.158,3,57,4.7,self-employed,midwest,good
73876,0.0,7633,0.0,0,61,3.0,self-employed,northeast,good
80493,3397.9,4449,0.764,0,61,5.3,self-employed,west,bad
46461,3873.48,11991,0.323,1,54,6.5,student,south,good
63809,3808.59,6853,0.556,1,54,2.8,salaried,south,good
15000,5471.56,11038,0.496,1,71,6.4,student,west,good
44512,857.89,6833,0.126,1,23,5.4,salaried,south,good
59949,4360.43,7761,0.562,1,37,2.3,salaried,west,good
40044,5385.02,9974,0.54,0,34,1.8,student,northeast,good
97648,0.0,9164,0.0,1,34,1.7,self-employed,midwest,good
36397,3639.3,1000,1.0,0,66,1.5,salaried,south,bad
56199,1991.64,3515,0.567,2,58,6.1,salaried,west,bad
67615,2836.95,11718,0.242,0,55,2.9,student,west,good
93825,3695.35,7471,0.495,1,21,7.8,salaried,northeast,good
36283,2025.54,5905,0.343,0,68,2.1,retired,south,good
88263,1648.58,2566,0.643,1,49,2.4,salaried,northeast,good
65205,3068.3,3681,0.834,0,24,4.3,retired,midwest,bad
45370,825.51,1000,0.826,0,53,7.5,student,west,bad
74242,828.35,7595,0.109,0,37,2.3,salaried,south,good
68981,4358.75,5606,0.777,2,48,5.0,self-employed,midwest,bad
52996,702.41,4134,0.17,1,70,3.2,salaried,west,good
66396,4332.63,7728,0.561,2,46,4.4,student,south,bad
57294,3925.18,9456,0.415,2,28,1.9,salaried,midwest,good
67270,0.0,16373,0.0,1,54,4.7,salaried,west,good
78243,1644.87,1952,0.842,0,38,2.7,self-employed,midwest,bad
96720,5388.22,12638,0.426,0,51,2.4,self-employed,south,good
40244,1037.67,11892,0.087,3,47,3.1,self-employed,south,good
107661,2071.19,4884,0.424,0,36,4.5,salaried,midwest,good
25958,3924.12,8813,0.445,2,30,2.9,salaried,south,bad
61964,4566.78,6169,0.74,1,60,2.4,salaried,west,bad
76766,2496.92,8743,0.286,1,32,3.0,self-employed,northeast,good
70620,1804.98,14037,0.129,0,42,2.9,retired,northeast,good
52546,5844.74,10422,0.561,2,36,4.3,student,south,bad
60838,6477.8,10034,0.646,0,32,2.5,salaried,west,good
55140,4957.72,6279,0.79,1,31,2.5,salaried,south,bad
53213,3170.64,2064,1.0,0,40,1.9,salaried,south,bad
81992,1383.47,7166,0.193,1,71,4.5,salaried,northeast,good
72140,1339.11,12826,0.104,1,21,3.5,salaried,northeast,good
51142,4045.03,1891,1.0,1,47,6.1,student,northeast,bad
82992,3836.8,3780,1.0,0,23,5.7,self-employed,west,bad
71146,5803.2,8505,0.682,0,32,3.7,self-employed,northeast,bad
81257,4300.9,4061,1.0,2,50,3.0,retired,south,bad
77593,0.0,4830,0.0,3,29,3.2,salaried,northeast,good
48420,5103.9,6306,0.809,1,73,2.2,salaried,midwest,bad
53796,1003.88,2538,0.396,0,74,1.9,salaried,midwest,good
79946,2232.06,4104,0.544,2,57,1.8,salaried,midwest,bad
77207,3500.4,10814,0.324,0,21,2.9,salaried,west,good
64582,6991.33,2771,1.0,2,62,0.4,self-employed,midwest,bad
67347,9219.84,1609,1.0,1,69,7.4,student,northeast,bad
90553,4213.45,5480,0.769,0,24,8.6,retired,west,bad
53169,2633.61,10928,0.241,1,35,1.6,self-employed,west,good
75942,4069.01,7212,0.564,0,71,8.5,self-employed,west,good
60956,4775.31,6142,0.778,1,47,1.7,self-employed,midwest,bad
60646,2358.66,8177,0.288,0,28,3.2,salaried,northeast,good
86976,6590.42,1017,1.0,2,43,4.0,self-employed,west,bad
81508,3460.14,9979,0.347,1,35,3.4,salaried,west,good
81270,3995.49,9534,0.419,0,47,2.3,self-employed,northeast,good
91110,4331.85,6363,0.681,2,51,2.2,salaried,northeast,bad
65420,3843.17,12024,0.32,0,59,5.1,salaried,west,good
78639,4677.88,3490,1.0,1,67,6.2,salaried,south,bad
58795,1765.49,12512,0.141,0,28,0.9,salaried,south,good
71483,1883.4,8618,0.219,0,50,3.7,salaried,south,good
62397,799.69,6654,0.12,1,62,4.5,salaried,midwest,good
66940,3879.0,7921,0.49,0,38,3.6,self-employed,northeast,good
76903,4557.87,7571,0.602,2,24,1.3,salaried,west,bad
48636,3915.55,12881,0.304,0,67,4.3,salaried,west,good
106848,6348.98,3693,1.0,1,63,5.8,salaried,midwest,bad
44880,2988.81,4950,0.604,0,42,1.9,salaried,midwest,good
40716,4337.48,12145,0.357,1,23,2.3,salaried,northeast,good
88162,816.6,5618,0.145,0,35,3.6,self-employed,south,good
80833,2225.8,11602,0.192,0,55,3.1,student,west,good
77482,4391.08,14798,0.297,0,67,2.3,salaried,midwest,good
77567,4698.2,6393,0.735,0,58,1.5,salaried,midwest,bad
64755,2412.07,10725,0.225,1,53,2.4,salaried,northeast,good
47055,2856.8,3385,0.844,0,34,0.7,salaried,south,bad
66516,0.0,11019,0.0,0,68,4.6,self-employed,south,good
51457,2285.94,8798,0.26,2,21,2.1,salaried,south,good
84502,4780.77,9892,0.483,1,73,5.0,salaried,south,good
62059,4150.41,5418,0.766,0,69,2.8,salaried,south,bad
48490,4001.33,1356,1.0,0,46,3.5,salaried,west,bad
58572,3099.55,10013,0.31,0,28,1.0,self-employed,northeast,good
73259,3014.13,1000,1.0,0,70,4.8,salaried,south,bad
53726,1679.36,6731,0.25,1,36,11.4,salaried,south,good
48556,4397.66,11765,0.374,1,58,2.5,self-employed,northeast,good
69874,3841.95,8768,0.438,0,30,3.4,salaried,northeast,good
69899,3984.04,15793,0.252,0,62,3.7,self-employed,northeast,good
54861,1947.93,12100,0.161,1,57,1.3,salaried,northeast,good
55579,0.0,5384,0.0,1,46,1.6,salaried,west,good
69641,5194.31,8109,0.641,0,48,4.4,self-employed,midwest,bad
36038,2042.33,7811,0.261,0,32,1.9,self-employed,south,good
36851,1274.45,1671,0.763,0,40,2.8,salaried,midwest,bad
50631,4386.96,4238,1.0,0,69,3.5,self-employed,northeast,bad
60731,2215.97,5757,0.385,0,34,4.5,salaried,south,good
71218,5119.87,1000,1.0,1,66,2.9,salaried,south,bad
94507,4234.01,8190,0.517,1,55,2.9,student,northeast,good
82153,4367.14,7004,0.624,1,49,10.4,student,midwest,good
61801,268.09,1308,0.205,0,32,5.4,self-employed,south,good
64620,5423.89,9617,0.564,0,72,2.6,student,south,good
44949,3522.5,10863,0.324,2,38,2.9,salaried,midwest,good
64630,2261.45,8908,0.254,0,64,8.2,self-employed,west,good
59227,3286.78,6704,0.49,1,22,4.5,student,northeast,good
71454,0.0,10366,0.0,1,22,5.8,salaried,south,good
48455,3817.31,10721,0.356,0,37,2.5,salaried,northeast,good
75387,941.26,9230,0.102,1,30,2.4,salaried,south,good
95655,294.66,4702,0.063,0,38,7.1,self-employed,west,good
62825,0.0,9106,0.0,1,42,3.1,salaried,midwest,good
73034,5225.38,12782,0.409,1,39,3.0,salaried,midwest,good
78803,1741.47,5613,0.31,1,73,2.4,self-employed,northeast,good
56976,6067.46,16392,0.37,2,21,5.7,salaried,west,good
69482,1928.4,5897,0.327,2,44,3.6,salaried,northeast,good
65252,0.0,8130,0.0,0,56,1.5,self-employed,northeast,good
66954,766.95,5310,0.144,0,45,2.3,salaried,northeast,good
49540,5471.62,8893,0.615,1,56,6.4,salaried,midwest,good
65490,2688.2,1031,1.0,2,51,3.6,student,northeast,bad
74960,1903.43,5816,0.327,2,51,5.7,salaried,midwest,good
94023,3320.04,3632,0.914,1,22,4.0,student,west,bad
84185,4003.57,8541,0.469,1,39,1.7,salaried,west,good
108064,5234.8,11978,0.437,3,73,4.3,self-employed,northeast,bad
49653,5897.0,10584,0.557,0,32,3.1,salaried,west,good
82446,2280.46,1000,1.0,1,30,2.3,salaried,south,bad
68667,347.9,16168,0.022,1,51,2.4,self-employed,west,good
108796,2173.07,9181,0.237,1,65,5.7,salaried,midwest,good
48834,3520.56,4894,0.719,1,42,3.7,self-employed,west,bad
48206,1072.48,8629,0.124,0,43,3.6,salaried,northeast,good
53012,1085.7,8705,0.125,0,72,7.5,salaried,south,good
22522,3687.58,5333,0.692,0,43,2.1,retired,northeast,bad
54485,2902.7,8792,0.33,1,35,3.0,salaried,south,good
49817,3065.59,5570,0.55,1,46,2.2,retired,northeast,good
68008,1483.01,6383,0.232,0,23,4.3,student,south,good
71835,2539.2,5255,0.483,0,43,3.6,salaried,south,good
102523,1151.53,2269,0.507,0,40,2.6,salaried,south,good
84008,4780.4,8583,0.557,0,65,2.8,student,midwest,good
53462,5070.5,10341,0.49,2,60,5.4,self-employed,northeast,bad
47032,0.0,10060,0.0,2,59,6.1,salaried,south,good
74838,1140.98,11280,0.101,0,28,2.3,self-employed,northeast,good
38595,6.94,9297,0.001,0,38,11.6,salaried,south,good
101629,1699.95,5869,0.29,2,61,1.3,salaried,west,good
88589,2833.12,11359,0.249,0,26,1.6,salaried,south,good
55616,100.71,2570,0.039,0,47,2.7,salaried,west,good
30737,1156.28,4397,0.263,2,56,2.0,salaried,south,good
92077,992.09,4143,0.239,1,35,1.8,salaried,south,good
62709,3414.53,12320,0.277,2,57,6.0,student,northeast,good
89756,3138.69,11771,0.267,1,25,4.3,self-employed,west,good
33111,1556.52,9949,0.156,0,59,3.4,self-employed,west,good
53012,3353.64,12288,0.273,0,29,2.3,salaried,west,good
65105,1906.64,4483,0.425,0,27,1.7,salaried,midwest,good
65940,2456.69,9394,0.262,0,61,1.6,salaried,northeast,good
55999,6346.9,7499,0.846,0,40,6.0,salaried,northeast,bad
77457,5680.92,11388,0.499,1,30,5.9,salaried,south,good
43648,400.84,7539,0.053,0,46,2.7,salaried,northeast,good
62152,4659.46,6460,0.721,0,24,1.2,self-employed,midwest,bad
67406,4622.79,10164,0.455,1,58,4.6,salaried,west,good
75289,703.47,11505,0.061,0,44,2.7,salaried,west,good
79232,4637.56,5327,0.871,3,34,5.5,salaried,northeast,bad
42507,6075.86,7756,0.783,0,61,1.6,retired,south,bad
34318,754.91,3766,0.2,1,21,3.4,salaried,south,good
90554,1164.99,1000,1.0,0,37,1.5,self-employed,midwest,bad
71646,5035.32,8802,0.572,0,65,2.0,retired,midwest,good
50030,3542.99,10436,0.34,1,44,2.0,self-employed,northeast,good
96023,4102.95,9048,0.453,2,47,2.7,retired,west,bad
67313,3681.18,1000,1.0,2,27,6.3,salaried,south,bad
88586,3781.39,6597,0.573,0,29,3.5,salaried,midwest,good
66350,347.06,1000,0.347,1,63,5.0,salaried,west,good
106215,5094.64,13479,0.378,2,55,3.3,salaried,south,good
100107,5339.18,3656,1.0,2,32,2.5,student,midwest,bad
60021,2541.22,13022,0.195,0,41,0.7,salaried,south,good
84431,2913.05,11783,0.247,2,23,1.7,salaried,south,good
77908,0.0,4398,0.0,1,35,3.2,self-employed,south,good
92373,4028.51,3469,1.0,1,41,3.5,salaried,south,bad
45702,4144.11,9401,0.441,1,30,5.5,salaried,south,good
78721,2875.62,4623,0.622,2,53,1.0,retired,midwest,bad
86168,5248.71,8410,0.624,0,66,9.4,salaried,south,good
29825,2331.85,6069,0.384,0,72,0.7,self-employed,south,bad
41335,4129.21,1000,1.0,1,26,3.1,self-employed,west,bad
24215,960.67,1000,0.961,0,22,2.2,salaried,northeast,bad
59612,2952.9,8907,0.332,1,49,1.7,salaried,south,good
79351,2651.29,5754,0.461,0,60,7.3,salaried,northeast,good
95047,3450.62,5788,0.596,1,53,2.3,self-employed,northeast,good
